ensembl,gene_name,naive,4h,12h,24h
ENSMUSG00000055088,Olfr354,0.521081483,0.619647936,0.343561263,0.340475991
ENSMUSG00000055093,Gm8430,1.328050247,0.361203129,1.35160181,1.427121041
ENSMUSG00000055095,Spink6,0,0,0,0
ENSMUSG00000055102,Zfp819,0.050002839,0.076442584,0.022762083,0.09779351
ENSMUSG00000055108,Phxr2,1.15549791,0.834676488,0.458250095,0.578457827
ENSMUSG00000055109,Gm15155,0.999717429,0.584360145,0.311700308,0.130355336
ENSMUSG00000055116,Arntl,11.69574351,14.50488637,15.62476558,11.85148358
ENSMUSG00000055128,Cgrrf1,4.502088522,4.866893901,7.931774843,7.884501227
ENSMUSG00000055137,Sugct,3.3847949,2.012679349,1.686117209,1.635090658
ENSMUSG00000055148,Klf2,183.6430211,81.84335224,77.69528948,42.28878014
ENSMUSG00000055150,Zfp78,2.78612975,1.532238214,2.664642512,2.053212326
ENSMUSG00000055170,Ifng,0.731484684,7.712611636,7.629946981,20.07872319
ENSMUSG00000055172,C1ra,0.330126018,0.14704915,0.111110846,0.052303062
ENSMUSG00000055177,Cstl1,0,0,0,0
ENSMUSG00000055184,Fam72a,0.648729057,1.383581673,1.713788458,4.695918072
ENSMUSG00000055193,Klk15,0.08463465,0,0,0
ENSMUSG00000055194,Actbl2,0,0,0.009741196,0.226666623
ENSMUSG00000055197,Fev,0,0,0,0
ENSMUSG00000055198,Gm12830,0,0,0,0
ENSMUSG00000055200,Sertad3,7.456678268,5.744812255,7.454284679,5.635624484
ENSMUSG00000055202,Zfp811,0.577111812,0.541199959,0.332369784,0.375731733
ENSMUSG00000055204,Ankrd17,41.18595167,68.02948479,44.7074097,49.65562977
ENSMUSG00000055210,Foxd2,0.334077092,0.503133327,0.418496738,0.243359522
ENSMUSG00000055214,Pld5,0.385237328,0.427563132,0.203811192,0.258823853
ENSMUSG00000055216,9430025C20Rik,0.449846906,0.69509608,0.315143303,0.326806186
ENSMUSG00000055228,Zfp935,1.25293382,0.069994493,0.747167378,0.508816952
ENSMUSG00000055235,Wdr86,0.49462542,0.754301277,0.487109942,0.407298784
ENSMUSG00000055239,Kcmf1,28.08724988,45.41643597,43.26137819,41.33990336
ENSMUSG00000055240,Zfp101,8.142859111,6.667828104,7.148729679,10.5777462
